name,volume,plate,part,year
Acrobates pygmæus,I,28,ii,1849
Antechinus albipes,I,42,iv,1852
Antechinus apicalis,I,39,i,1845
Antechinus ferruginifrons,I,36,vi,1854
Antechinus flavipes,I,40,vi,1854
Antechinus fuliginosus,I,41,iv,1852
Antechinus leucogaster,I,38,vi,1854
Antechinus leucopus,I,35,xii,1860
Antechinus maculatus,I,44,iii,1851
Antechinus minutissimus,I,45,iv,1852
Antechinus murinus,I,43,iv,1852
Antechinus swainsoni,I,34,vi,1854
Antechinus unicolor,I,37,vi,1854
Arctocephalus lobatus,III,49,xii,1860
Belideus ariel,I,27,ii,1849
Belideus breviceps,I,25,ii,1849
Belideus flaviventer,I,23,i,1845
Belideus notatus,I,26,xii,1860
Belideus sciureus,I,24,i,1845
Bettongia campestris,II,66,iii,1851
Bettongia cuniculus,II,63,vi,1854
Bettongia grayii,II,64,vii,1855
Bettongia ogilbyi,II,62,iv,1852
Bettongia penicillata,II,61,iv,1852
Bettongia rufescens,II,65,vii,1855
Canis dingo,III,51,xi,1859
Canis dingo,III,52,xi,1859
Chæropus castanotis,I,6,i,1845
Cuscus brevicaudatus,I,21,xii,1860
Dasyurus geoffroyi,I,51,iii,1851
Dasyurus hallucatus,I,52,iii,1851
Dasyurus maculatus,I,49,iii,1851
Dasyurus viverrinus,I,50,iii,1851
Dendrolagus inustus,II,50,viii,1856
Dendrolagus ursinus,II,49,viii,1856
Dorcopsis bruni,II,51,x,1858
Dromicia concinna,I,30,i,1845
Dromicia gliriformis,I,29,i,1845
Echidna hystrix,I,2,iv,1852
Echidna setosa,I,3,ii,1849
Halmaturus agilis,II,24,ix,1857
Halmaturus agilis,II,25,ix,1857
Halmaturus bennettii,II,16,viii,1856
Halmaturus bennettii,II,17,viii,1856
Halmaturus billardieri,II,35,xii,1860
Halmaturus billardieri,II,36,xii,1860
Halmaturus brachyurus,II,37,vii,1855
Halmaturus brachyurus,II,38,vii,1855
Halmaturus derbianus,II,29,xi,1859
Halmaturus derbianus,II,30,xi,1859
Halmaturus dorsalis,II,26,ix,1857
Halmaturus dorsalis,II,27,ix,1857
Halmaturus greyi,II,18,iv,1852
Halmaturus greyi,II,19,iv,1852
Halmaturus manicatus,II,20,iv,1852
Halmaturus manicatus,II,21,iv,1852
Halmaturus parma,II,28,viii,1856
Halmaturus ruficollis,II,14,vi,1854
Halmaturus ruficollis,II,15,vi,1854
Halmaturus stigmaticus,II,33,xii,1860
Halmaturus stigmaticus,II,34,xii,1860
Halmaturus thetidis,II,31,ix,1857
Halmaturus thetidis,II,32,ix,1857
Halmaturus ualabatus,II,22,ix,1857
Halmaturus ualabatus,II,23,ix,1857
Hapalotis albipes,III,1,v,1853
Hapalotis apicalis,III,2,v,1853
Hapalotis cervinus,III,10,v,1853
Hapalotis conditor,III,6,ii,1849
Hapalotis hemileucura,III,3,x,1858
Hapalotis hirsutus,III,4,ix,1857
Hapalotis longicaudata,III,8,i,1845
Hapalotis mitchellii,III,9,i,1845
Hapalotis murinus,III,7,v,1853
Hapalotis penicillata,III,5,iii,1851
Hydromys chrysogaster,III,24,v,1853
Hydromys fuliginosus,III,27,v,1853
Hydromys fulvolavatus,III,25,v,1853
Hydromys leucogaster,III,26,v,1853
Hypsiprymnus apicalis,II,68,iii,1851
Hypsiprymnus gilberti,II,69,vi,1854
Hypsiprymnus murinus,II,67,vi,1854
Hypsiprymnus platyops,II,70,iii,1851
Lagorchestes conspicillatus,II,59,xii,1860
Lagorchestes fasciatus,II,56,ii,1849
Lagorchestes hirsutus,II,58,ii,1849
Lagorchestes leichardti,II,60,v,1853
Lagorchestes leporoïdes,II,57,xi,1859
Macropus fuliginosus,II,5,x,1858
Macropus major,II,1,ix,1857
Macropus major,II,2,ix,1857
Macropus ocydromus,II,3,xii,1860
Macropus ocydromus,II,4,xii,1860
Molossus australis,III,31,x,1858
Mus albocinereus,III,21,ii,1849
Mus assimilis,III,15,x,1858
Mus cervinipes,III,14,iv,1852
Mus delicatulus,III,23,vii,1855
Mus fuscipes,III,11,iii,1851
Mus gouldi,III,19,vii,1855
Mus lineolatus,III,18,ix,1857
Mus longipilis,III,13,vi,1854
Mus manicatus,III,16,x,1858
Mus nanus,III,20,x,1858
Mus novæ-hollandiæ,III,22,viii,1856
Mus sordidus,III,17,x,1858
Mus vellerosus,III,12,xi,1859
Myrmecobius fasciatus,I,4,i,1845
Nyctophilus geoffroyi,III,36,v,1853
Nyctophilus geoffroyi,III,37,v,1853
Nyctophilus timoriensis,III,39,xi,1859
Nyctophilus unicolor,III,38,xi,1859
Onychogalea frænata,II,54,ii,1849
Onychogalea lunata,II,55,ii,1849
Onychogalea unguifer,II,52,xi,1859
Onychogalea unguifer,II,53,xi,1859
Ornithorhynchus anatinus,I,1,vii,1855
Osphranter antilopinus,II,8,x,1858
Osphranter antilopinus,II,9,x,1858
Osphranter parryi,II,12,iv,1852
Osphranter parryi,II,13,iv,1852
Osphranter robustus,II,10,x,1858
Osphranter robustus,II,11,x,1858
Osphranter rufus,II,6,v,1853
Osphranter rufus,II,7,v,1853
Peragalea lagotis,I,7,i,1845
Perameles fasciata,I,8,ii,1849
Perameles gunnii,I,9,xi,1859
Perameles myosurus,I,10,i,1845
Perameles nasuta,I,11,vii,1855
Perameles obesula,I,12,viii,1856
Petaurista taguanoïdes,I,22,v,1853
Petrogale brachyotis,II,47,xi,1859
Petrogale concinna,II,48,viii,1856
Petrogale inornata,II,45,xii,1860
Petrogale inornata,II,46,xii,1860
Petrogale lateralis,II,41,ix,1857
Petrogale lateralis,II,42,ix,1857
Petrogale penicillata,II,39,v,1853
Petrogale penicillata,II,40,v,1853
Petrogale xanthopus,II,43,vii,1855
Petrogale xanthopus,II,44,vii,1855
Phalangista canina,I,17,viii,1856
Phalangista cookii,I,18,viii,1856
Phalangista fuliginosa,I,20,ii,1849
Phalangista lanuginosa,I,19,x,1858
Phalangista viverrina,I,19,viii,1856
Phalangista vulpina,I,16,viii,1856
Phascogale calura,I,32,i,1845
Phascogale lanigera,I,33,viii,1856
Phascogale penicillata,I,31,i,1845
Phascolarctos cinereus,I,13,vi,1854
Phascolarctos cinereus,I,14,vi,1854
Phascolomys lasiorhinus,I,59,xiii,1863
Phascolomys lasiorhinus,I,60,xiii,1863
Phascolomys latifrons,I,57,xi,1859
Phascolomys latifrons,I,58,xi,1859
Phascolomys wombat,I,55,vii,1855
Phascolomys wombat,I,56,vii,1855
Podabrus crassicaudatus,I,47,i,1845
Podabrus macrourus,I,46,ii,1849
Pteropus conspicillatus,III,29,iii,1851
Pteropus funereus,III,30,ii,1849
Pteropus poliocephalus,III,28,ii,1849
Rhinolophus aurantius,III,35,iii,1851
Rhinolophus cervinus,III,34,vi,1854
Rhinolophus megaphyllus,III,33,viii,1856
Sarcophilus ursinus,I,48,iii,1851
Scotophilus gouldi,III,40,vii,1855
Scotophilus greyi,III,45,x,1858
Scotophilus microdon,III,42,xii,1860
Scotophilus morio,III,41,vii,1855
Scotophilus nigrogriseus,III,44,viii,1856
