record_kind,study,reported_name,voucher,locality,latitude,longitude,coordinate_basis,uncertainty_km,coordinate_source,bradley_clade
type,type locality,Geomys breviceps,USNM:MAMM:156,"Prairie Mer Rouge, Morehouse Parish, Louisiana",32.775135,-91.792626,"centroid of Mer Rouge; original locality denotes the surrounding prairie",10,"Baird 1855; OpenStreetMap Nominatim",
type,type locality,Geomys breviceps sagittalis,USNM:MAMM:32936,"Clear Creek, Galveston Bay, Texas",29.507454,-95.094930,"centroid of the historical Clear Creek settlement, now League City",5,"Merriam 1895; Galveston County Museum; OpenStreetMap Nominatim",
type,type locality,Geomys breviceps brazensis,TCWC:Mamm:537,"5 mi E Kurten, Grimes County, Texas",30.787110,-96.179891,"5 mi due east of the Kurten gazetteer point",2,"Davis 1938; OpenStreetMap Nominatim; WGS84 geodesic offset",
type,type locality,Geomys breviceps dutcheri,USNM:MAMM:64591,"Fort Gibson, Muskogee County, Oklahoma",35.797546,-95.250341,"centroid of Fort Gibson",3,"Davis 1940; OpenStreetMap Nominatim",
type,type locality,Geomys breviceps ludemani,TCWC:Mamm:1135,"7 mi SW Fannett, Jefferson County, Texas",29.854375,-94.333046,"7 mi southwest of the Fannett gazetteer point",4,"Davis 1940; OpenStreetMap Nominatim; WGS84 geodesic offset",
type,type locality,Geomys breviceps pratincolus,TCWC:Mamm:1128,"2 mi E Liberty, Liberty County, Texas",30.060910,-94.763736,"2 mi due east of the Liberty gazetteer point",3,"Davis 1940; OpenStreetMap Nominatim; WGS84 geodesic offset",
type,type locality,Geomys breviceps terricolus,TCWC:Mamm:624,"1 mi N Texas City, Galveston County, Texas",29.410486,-94.917548,"1 mi due north of the Texas City gazetteer point",3,"Davis 1940; OpenStreetMap Nominatim; WGS84 geodesic offset",
sample,Bradley et al. 2023,Geomys breviceps,LVT5500,"3 mi NW Alleene, Little River County, Arkansas",33.802058,-94.298694,"3 mi northwest of the Alleene gazetteer point",2,"Bradley et al. 2023 Appendix I; OpenStreetMap Nominatim; WGS84 geodesic offset",II
sample,Bradley et al. 2023,Geomys breviceps,UALR4532,"3 mi NW Alleene, Little River County, Arkansas",33.802058,-94.298694,"3 mi northwest of the Alleene gazetteer point",2,"Bradley et al. 2023 Appendix I; OpenStreetMap Nominatim; WGS84 geodesic offset",II
sample,Bradley et al. 2023,Geomys breviceps,LSUMZ31603,"3.1 mi E Bastrop, Morehouse Parish, Louisiana",32.778129,-91.863972,"museum-catalogue coordinates",0.2,"GBIF occurrence 45867258",II
sample,Bradley et al. 2023,Geomys breviceps,Demastes 1994 / L28733,"5.0 km E Bastrop, Morehouse Parish, Louisiana",32.778129,-91.863972,"same stated offset as the georeferenced 3.1 mi E Bastrop locality",1,"Bradley et al. 2023 Appendix I; GBIF occurrence 45867258",II
sample,Bradley et al. 2023,Geomys breviceps,Demastes 1994 / L28734,"Collinston, Morehouse Parish, Louisiana",32.690970,-91.871794,"centroid of Collinston",2,"Bradley et al. 2023 Appendix I; OpenStreetMap Nominatim",II
sample,Bradley et al. 2023,Geomys breviceps,TTU69299,"3.5 mi SE Quitman, Wood County, Texas",32.759998,-95.402000,"museum-catalogue coordinates; agrees with published UTM",0.2,"GBIF occurrence 4857873132; Bradley et al. 2023 Appendix I",II
sample,Bradley et al. 2023,Geomys breviceps brazensis,TTU143407,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974948",I
sample,Bradley et al. 2023,Geomys breviceps brazensis,TTU143408,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857892211",I
sample,Bradley et al. 2023,Geomys breviceps dutcheri,TTU143398,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857969682",II
sample,Bradley et al. 2023,Geomys breviceps dutcheri,TTU143399,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857903418",II
sample,Bradley et al. 2023,Geomys breviceps pratincolus,TTU143428,"0.5 mi E Livingston, Polk County, Texas",30.710583,-94.927350,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857903426",I
sample,Bradley et al. 2023,Geomys breviceps sagittalis,LSUMZ30723,"2 mi S, 3 mi W Rosepine, Vernon Parish, Louisiana",30.890181,-93.333003,"museum-catalogue coordinates",0.2,"GBIF occurrence 45867141",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,LSUMZ29336,"0.5 km N Ranger Station, Vernon Parish, Louisiana",30.991178,-93.156999,"museum-catalogue coordinates",0.2,"GBIF occurrence 45866957",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,LSUMZ29337,"0.5 km N Ranger Station, Vernon Parish, Louisiana",30.991178,-93.156999,"museum-catalogue coordinates",0.2,"GBIF occurrence 45866958",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,Demastes 1994 / L28736,"Fort Polk National Forest, 0.8 km N Ranger Station, Louisiana",30.993878,-93.156999,"0.3 km north of the catalogued 0.5 km N Ranger Station point",1,"Bradley et al. 2023 Appendix I; GBIF occurrences 45866957 and 45866958",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,Demastes 1994 / L28738,"1.4 km S Kirbyville, Jasper County, Texas",30.647891,-93.892681,"1.4 km south of the Kirbyville gazetteer point",1,"Bradley et al. 2023 Appendix I; OpenStreetMap Nominatim; WGS84 geodesic offset",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,Demastes 1994 / L28737,"6.8 km N Lindale, Smith County, Texas",32.576851,-95.409400,"6.8 km north of the Lindale gazetteer point",2,"Bradley et al. 2023 Appendix I; OpenStreetMap Nominatim; WGS84 geodesic offset",II
sample,Bradley et al. 2023,Geomys breviceps sagittalis,TTU119230,"Reagan, Waite Cemetery, CR 252, Falls County, Texas",31.211567,-96.770467,"museum-catalogue coordinates",0.1,"GBIF occurrence 4858002602",I
sample,Bradley et al. 2023,Geomys breviceps sagittalis,TTU155642,"Reagan, Waite Cemetery, CR 252, Falls County, Texas",31.211567,-96.770467,"coordinates of TTU119230 from the same collecting locality",0.2,"Bradley et al. 2023 Appendix I; GBIF occurrence 4858002602",I
sample,Bradley et al. 2023,Geomys breviceps sagittalis,TTU155643,"Reagan, Waite Cemetery, CR 252, Falls County, Texas",31.211567,-96.770467,"coordinates of TTU119230 from the same collecting locality",0.2,"Bradley et al. 2023 Appendix I; GBIF occurrence 4858002602",I
sample,Bradley et al. 2023,Geomys breviceps sagittalis,TTU119231,"Reagan, intersection of Hwy 6 and CR 251, Falls County, Texas",31.207183,-96.773600,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857925805",I
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200288,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857969684",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200289,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857903421",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200290,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974949",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200291,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857969685",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200292,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857903422",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200293,"5.81 mi E Kurten, Grimes County, Texas",30.815100,-96.170800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974950",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200443,"5.81 mi E Kurten, Grimes County, Texas",30.812883,-96.173117,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974951",
sample,Halsey et al. 2025,Geomys bursarius brazensis,TK200444,"7.99 mi SE Kurten, Grimes County, Texas",30.716467,-96.157350,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857969689",
sample,Halsey et al. 2025,Geomys bursarius dutcheri,TK200185,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974946",
sample,Halsey et al. 2025,Geomys bursarius dutcheri,TK200186,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857892209",
sample,Halsey et al. 2025,Geomys bursarius dutcheri,TK200187,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857903419",
sample,Halsey et al. 2025,Geomys bursarius dutcheri,TK200188,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857974947",
sample,Halsey et al. 2025,Geomys bursarius dutcheri,TK200189,"Fort Gibson Historic Site, Muskogee County, Oklahoma",35.804300,-95.257800,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857892210",
sample,Halsey et al. 2025,Geomys breviceps sagittalis,TK24932,"1.5 mi W Maysfield, Milam County, Texas",30.922001,-96.844002,"museum-catalogue coordinates",0.1,"GBIF occurrence 4857887347",
